Client_ID,Balance_Limit_V1,Gender,EDUCATION_STATUS,MARITAL_STATUS,AGE,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,DUE_AMT_JULY,DUE_AMT_AUG,DUE_AMT_SEP,DUE_AMT_OCT,DUE_AMT_NOV,DUE_AMT_DEC,PAID_AMT_JULY,PAID_AMT_AUG,PAID_AMT_SEP,PAID_AMT_OCT,PAID_AMT_NOV,PAID_AMT_DEC,NEXT_MONTH_DEFAULT
A35,200000,0,2,1,2,-1,4,3,2,3,2,2601,2571,2523,3269,2576,1314,0,0,746,0,0,2744,0
A36,400000,1,2,0,1,-2,-2,-2,-2,-2,-2,13017,14602,235869,4897,6637,0,14602,235869,4897,6637,0,2010,0
A37,1500000,1,0,0,1,1,-1,-1,-2,-2,-2,0,566,0,0,0,0,566,0,0,0,0,0,0
A38,1000000,1,0,1,1,-1,-1,-1,-1,-1,-1,915,915,915,0,1830,157299,915,915,0,1830,157299,3927,0
A39,1000000,1,0,1,1,0,0,0,0,0,0,682450,696514,711568,707216,682984,670660,30030,30298,25410,25410,27720,21483,0
A40,1000000,1,2,0,1,-2,-1,-1,-2,-2,-2,4701,25431,21622,17279,10169,8422,25431,21645,17293,10169,8422,13996,0
A41,400000,1,0,1,1,0,0,0,0,0,0,395380,433940,395229,318748,326447,322160,30030,14216,34650,13860,16170,11550,0
A42,200000,1,0,0,1,2,0,0,0,2,2,69330,72132,74835,80058,81903,80240,4620,4620,6468,3465,0,3465,1
A43,200000,1,2,1,0,0,0,0,0,0,0,54213,53384,52650,48189,44158,35311,3319,2855,1499,1920,1312,522,0
A45,200000,0,0,0,1,2,0,0,2,2,2,104530,98602,105507,103116,110011,112248,4158,8547,0,8563,4389,0,1
A46,1000000,1,0,0,2,-2,-2,-2,-2,-2,-2,10323,120612,108420,0,108540,2037,120642,108420,0,108540,2037,0,0
A47,500000,1,0,0,1,-1,-1,-1,-1,-1,-1,753,753,753,753,753,753,753,753,753,753,753,753,0
A48,1000000,0,2,0,1,1,2,2,2,2,2,669632,655724,695922,708597,724670,714820,0,51282,27720,27720,2259,54285,0
A49,1000000,0,0,1,0,-1,-1,-2,-2,-1,-1,17034,0,0,0,5881,0,0,0,0,5881,0,0,0
A52,400000,1,2,1,0,0,0,0,0,-1,0,57889,56147,40820,51100,94329,86558,18540,18027,17856,155454,3095,2957,0
A53,1000000,1,2,1,0,1,2,0,0,0,0,941092,918142,913219,848694,704527,702940,0,33296,33289,175560,34650,30030,0
A54,1000000,1,0,0,1,1,-2,-2,-2,-2,-1,-314,-1146,-1977,-2809,-3641,9854,832,832,832,732,14442,18,0
A55,200000,1,2,0,1,-2,-2,-2,-2,-2,-2,901,901,0,1802,0,0,901,0,1802,0,0,0,0
A56,1000000,1,0,0,2,1,-1,-1,-1,-2,-1,0,2657,10571,0,0,2786,2657,10571,0,0,2786,0,1
A57,1000000,0,0,1,1,-2,-2,-2,-2,-2,-2,832,0,0,0,0,0,0,0,0,0,0,0,0
A58,500000,1,1,1,1,-2,-2,-2,-2,-2,-2,13038,190852,32638,95539,21113,0,206022,32751,95539,21113,0,0,0
A59,100000,1,2,1,2,0,0,0,0,0,0,68367,68434,68198,68131,68062,69048,3696,3465,3465,3465,4620,5315,0
A60,200000,1,2,0,1,-1,-1,-1,-1,-1,-1,10901,51857,15338,12497,22107,3465,52044,15338,12497,22107,3465,0,0
A61,500000,1,0,1,0,0,0,0,-1,-1,-1,56512,58517,27699,10150,462,462,3634,6946,10150,462,462,462,0
A62,400000,0,1,0,2,0,0,0,0,0,0,326669,334008,341037,299161,305426,311547,12606,13077,10709,11088,11204,11550,1
A64,400000,1,2,1,0,0,0,0,0,0,0,23356,22747,25110,28157,29651,31943,2675,2728,3465,1931,2772,4620,0
A65,200000,1,1,1,0,1,2,2,0,0,2,100912,103243,100885,103162,114373,111929,4620,0,4620,13860,693,6930,0
A66,1000000,0,2,0,1,0,0,0,0,0,0,206502,208020,209295,210672,212830,214447,7491,7392,7357,8085,8085,7900,0
A67,200000,1,0,1,0,-1,2,2,2,2,0,8397,10462,9951,11224,10714,11344,2541,0,1441,0,1155,2310,1
A69,1000000,0,0,0,1,-2,-2,-2,-2,-2,-2,266,2065,0,0,0,0,2065,0,0,0,0,0,1
A70,400000,0,2,0,0,0,0,0,0,0,0,223640,161400,159353,128341,103269,65195,23118,46232,4375,14842,5091,144442,0
A71,100000,1,1,1,1,1,2,0,0,0,0,71081,69242,63620,64183,66618,67942,0,4620,2310,3465,2430,1365,0
A73,500000,0,0,1,0,0,0,0,2,0,0,229399,241171,254945,234581,227801,114876,15477,24498,0,10975,4052,0,1
A75,1000000,1,0,1,1,-1,-1,-1,-1,-1,-1,721,721,721,721,580,-141,723,723,723,582,2,221693,1
A76,500000,1,1,1,1,2,2,0,0,0,0,85156,82206,83135,83190,83539,73081,0,4158,2841,2772,3119,5336,0
A77,500000,0,0,1,0,1,2,0,0,2,2,37417,33079,35664,34089,32975,31601,0,11550,2310,0,4620,0,0
A78,200000,1,1,1,0,0,0,-1,0,0,0,111857,102680,2208,2255,4565,6789,4967,2208,46,2310,2310,2310,1
A80,500000,0,0,1,0,0,0,0,0,0,0,82280,52541,28182,22017,23403,0,4031,2772,3537,8085,0,0,0
A81,200000,0,1,0,1,-1,-1,0,-1,-1,-2,751,247,2557,3091,0,0,247,2310,3091,0,0,2495,0
A82,200000,0,1,0,1,0,0,0,0,0,0,98729,103359,109815,40102,41414,45320,6930,9240,2310,2310,4620,2310,0
A84,200000,0,0,1,0,0,0,0,0,0,0,100397,96662,93500,100917,101312,111173,6930,6930,16170,23100,34650,2310,0
A85,1000000,1,0,1,1,-1,-1,-1,-1,-1,-2,14398,25761,-2,869,0,0,25916,0,871,0,0,4063,0
A86,500000,0,1,0,2,-1,-1,-1,-1,-1,-1,993,993,993,993,993,993,993,993,993,993,993,24943,0
A87,200000,1,1,1,1,0,0,0,0,0,0,128029,130741,133342,136041,143199,146047,4777,4807,4881,11550,5230,5410,0
A88,100000,0,2,1,0,2,2,7,7,7,7,693,693,693,693,693,693,0,0,0,0,0,0,0
A89,1000000,1,2,1,0,2,2,2,-1,2,-1,924,924,924,46972,44006,49834,0,0,46972,0,49834,0,0
A91,500000,1,2,1,0,-1,0,0,0,-1,-1,68847,71361,58570,50048,35583,26701,46302,23557,34842,35690,26780,43391,0
A92,200000,1,2,0,1,0,0,0,0,0,0,116496,105380,77639,44401,43717,45294,4211,3465,2310,2310,2310,2310,0
A94,200000,1,2,1,0,0,0,0,2,2,0,54144,60157,67410,69083,67665,68674,7623,9009,3465,0,2481,2772,0
A95,1000000,0,0,1,1,2,2,2,2,2,2,499905,511478,519179,526731,537592,601690,23100,19635,19635,19635,73920,462,0
A97,1000000,0,0,0,1,-1,-1,-1,-1,-1,-1,381,1970,381,693,0,4135,1970,381,693,0,4135,0,0
A98,200000,1,0,1,1,0,0,0,0,0,0,47616,64722,52539,42698,37833,30843,23100,23100,3465,6930,6475,11550,0
A100,200000,0,1,0,2,0,0,0,0,0,0,88933,90589,35930,20106,20568,10827,4026,2359,462,462,231,0,0
A101,1500000,1,0,0,1,0,0,0,0,0,0,35784,53093,47817,45750,54983,53326,30012,4641,11550,11550,4620,16170,0
A102,1000000,0,1,0,1,0,0,0,0,0,0,42705,28565,30053,29152,41453,46269,6052,2310,0,32213,16438,2957,1
A103,1000000,1,2,1,0,-2,-2,-2,-2,-2,-2,4156,4084,4269,-18,3698,-7,4116,4290,0,3717,7,2488,0
A104,1000000,0,2,1,1,0,0,0,0,0,0,365620,470607,678389,453857,5717,0,115500,231000,0,0,0,0,0
A106,1000000,1,0,0,1,0,0,0,0,0,0,557151,264012,261714,80961,84294,86052,23100,12587,11550,4620,4620,11550,0
A107,1000000,0,2,0,1,-2,-2,-1,0,0,0,-17182,333938,340579,311949,318734,320877,351120,13860,11550,9240,9279,11550,0
A108,1500000,0,2,0,1,-1,-1,-1,-1,-1,-1,84431,43317,51689,90132,9778,917,43416,51739,90185,9778,917,65458,0
A109,1500000,0,0,0,1,0,0,0,0,0,0,297546,308015,307403,253419,256877,268350,23100,11550,11550,16461,23100,23100,0
A110,1000000,1,2,1,0,0,0,0,0,0,0,542543,548618,497442,474881,479759,459586,24255,21137,17325,18480,17325,16401,0
A111,1500000,1,1,0,2,0,0,0,0,2,-1,85181,60132,74819,75837,39711,166777,2754,74802,4645,0,166777,23100,0
A113,200000,1,1,0,2,0,0,0,0,0,0,156318,144442,136345,60078,65165,42264,6306,5752,2310,13273,4620,330,0
A114,1500000,1,0,1,1,0,0,0,0,0,0,134229,117840,111658,114419,124079,131250,5544,6930,4620,11550,9240,9240,0
A115,1000000,0,0,0,1,-1,0,0,0,0,0,482462,491198,499103,483455,467955,451760,17581,17288,16422,16098,15387,14844,0
A116,400000,0,0,0,1,-1,-1,-1,-1,-1,-1,7367,7399,7903,6353,6353,12067,7503,7903,6353,6353,12067,5343,0
A117,500000,1,2,0,2,-1,2,-1,-1,2,-1,16955,13814,10363,22615,11421,10848,0,10363,23100,0,10848,10848,0
A119,300000,0,0,1,0,0,0,0,0,0,0,262095,258780,258240,258572,258789,258662,9820,9744,9626,9790,9658,9808,0
A120,200000,0,2,0,1,0,0,0,0,0,0,131746,136276,137981,85271,87050,89196,6653,5713,3054,3155,3590,3162,0
A121,1000000,1,0,1,0,-1,-1,-1,-1,-1,-1,177861,26600,30936,51303,126604,144454,26600,30998,51303,126604,144454,87630,0
A122,300000,1,2,0,1,0,0,0,0,0,0,252624,236787,239857,176694,178436,180293,9101,7521,6228,6422,6699,6930,0
A124,1000000,0,0,1,1,0,0,0,0,0,0,363779,358886,361254,368639,376551,373686,14784,14091,12936,13410,16186,12474,0
A125,500000,1,0,1,1,-1,-1,-1,0,-1,-1,1067,1298,4306,2153,2153,2342,2384,5161,0,2153,2342,2310,0
A126,200000,0,2,0,1,0,-1,0,0,0,0,13269,76496,78843,80409,82095,83786,76496,3622,2878,2982,3058,1682,0
A127,500000,0,0,1,1,0,0,0,0,0,0,174082,133031,126382,102555,59940,33507,4736,34650,13867,1952,670,29372,0
A129,500000,1,2,0,1,-1,-1,-1,-1,-1,-1,21661,22024,22754,22881,19727,20293,22037,22767,22881,19727,20293,7115,0
A130,400000,0,2,1,1,1,2,0,0,0,0,342585,327805,327881,261095,260261,259455,0,16170,9062,9240,9471,11060,0
A132,1000000,0,2,1,1,0,0,0,0,0,0,283691,264282,224982,192455,169305,136914,23252,16759,7011,6999,6972,4648,0
A133,400000,0,0,1,0,-1,-1,-1,0,0,-1,11220,3994,113652,115500,0,115500,4003,113652,2310,0,115500,0,0
A134,200000,1,2,0,2,0,0,0,0,0,-1,243393,251102,250603,217415,43449,93830,11619,6232,5017,869,93830,58468,1
A135,500000,0,2,0,1,0,0,-2,-2,-2,-2,52917,75105,14304,6664,19448,6491,75105,21,18,19506,7203,0,1
A136,500000,0,0,1,0,0,0,0,0,0,-1,29094,43206,56387,67415,16921,753,16170,16170,16170,11550,753,16808,0
A138,100000,1,0,1,0,0,0,0,0,0,0,40099,38873,40940,43273,28295,45992,6237,9587,3465,1333,18480,693,0
A139,400000,1,2,1,1,0,0,0,0,0,0,296401,275084,145350,139053,136140,135491,11550,5082,5313,5313,4851,4620,0
A140,500000,1,1,1,1,-2,-2,-2,-2,-2,-2,901,4156,901,901,966,3705,4156,901,901,966,3705,0,0
A142,100000,0,2,1,2,1,2,2,2,0,0,43239,41885,45114,43775,38138,44782,0,6930,0,2310,6930,4620,1
A143,200000,0,2,1,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,924,0
A144,400000,0,0,0,1,0,0,0,0,0,0,382541,319951,314567,140910,137392,102144,184800,10954,4671,4796,4103,24100,0
A145,200000,0,2,0,1,2,2,2,2,2,2,116057,118145,115551,123331,126077,128718,4620,0,9702,5082,5082,5082,1
A146,300000,0,1,0,1,-1,-1,-1,-1,-1,-1,8244,16907,17574,3973,103950,0,17059,17574,3973,103950,34650,3564,0
A147,100000,1,2,1,1,0,0,0,0,0,0,51331,53703,56041,57156,58353,59513,3213,3241,2047,2118,2130,2206,0
A148,200000,1,0,1,0,-1,-1,-1,-1,-1,-2,5874,33114,1307,12111,0,0,33354,1307,12111,0,0,3188,0
A149,200000,0,2,1,0,-1,-1,-1,-1,-1,-1,901,3463,1802,1841,2693,0,3463,1802,1841,2693,0,0,1
A150,1000000,0,0,1,1,0,0,0,0,0,0,533665,480755,492536,466865,482536,497701,23100,23100,18480,23100,23100,46200,0
A151,1000000,0,0,0,1,-1,-1,-1,-1,-1,-1,115655,40672,95315,20517,40074,67489,40672,95368,20517,40074,67489,9339,0
A152,1500000,0,1,1,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
A153,400000,1,1,0,2,2,2,0,0,0,0,389237,370573,364197,169374,133599,96655,0,14604,5255,5412,7089,177882,0
A154,1500000,0,0,1,1,0,0,0,0,0,0,205809,216295,258487,461265,409039,406511,13860,46200,207900,20790,23100,23100,0
A155,100000,0,2,1,0,2,0,0,0,0,0,44735,44576,46253,45334,35084,0,4158,3465,1155,1155,0,0,1
A156,1000000,1,2,1,0,1,-1,2,0,-1,-1,0,3805,3437,1132,3920,1823,3805,12,5,3939,1830,0,0
A157,1000000,0,0,0,1,-1,-1,-1,-2,-2,-2,2328,527,0,0,0,0,527,0,0,2051,0,0,0
A159,200000,0,0,1,0,0,0,0,0,0,0,61926,102474,74123,46431,34920,42737,69392,4705,1368,11557,11578,4673,0
A160,400000,0,1,0,2,0,0,0,0,0,0,262525,271014,277050,288549,295929,303492,11552,9240,13874,11550,11568,0,0
A161,1000000,1,2,0,1,-1,-1,-1,-1,-1,-1,3615,4003,5710,6066,2285,10735,4003,5757,6091,2292,10781,640,0
A162,1000000,1,0,1,1,0,0,0,0,0,0,580933,566659,503679,452797,451159,390265,21603,18658,16565,18512,14403,10268,0
A163,200000,0,1,0,0,0,0,-1,-1,-1,-1,7801,9831,9718,1603,550,0,2310,9718,1603,550,0,0,0
A164,1000000,0,0,1,1,1,-2,-1,-1,-1,-1,0,0,9004,3373,43661,0,0,9004,3373,43661,0,0,1
A165,200000,0,2,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
A166,200000,1,0,1,1,0,0,0,2,0,0,30457,11712,15743,14017,18013,19660,2899,4620,0,4620,2310,1155,0
A167,400000,0,0,1,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
A168,300000,0,0,1,1,1,-1,-1,0,-1,-1,0,3996,5676,5064,6133,0,3996,5680,0,6133,0,0,1
A169,1000000,0,2,1,1,0,0,0,-1,-1,-1,24865,20499,8087,758,0,1779,2430,2315,758,0,1779,26124,0
A170,100000,1,2,1,1,-1,0,0,0,0,0,6953,3703,46154,46161,46352,45865,2938,44555,1573,2118,2310,2054,0
A171,200000,0,1,0,2,0,0,0,0,-2,-2,112721,113456,110859,0,0,0,4620,2352,0,0,0,0,0
A172,100000,0,0,1,0,1,2,2,2,0,0,24040,23322,27549,26426,29097,31261,0,4620,0,3465,3003,0,1
A173,300000,1,2,0,1,0,0,0,0,0,0,208979,205207,207417,122652,120905,63895,9240,11550,7161,3927,3283,737,1
A175,100000,1,2,1,0,-1,2,0,0,0,2,41557,40224,42984,44209,47794,46602,0,3470,1899,4620,0,508,0
A176,300000,0,2,1,0,-2,-2,-2,-2,-2,-2,105696,21222,12492,29845,22305,10942,21222,12492,29845,22305,10942,10425,0
A178,400000,1,2,1,0,-1,-1,-1,-1,-1,-1,3211,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0
A179,200000,0,2,1,0,0,0,0,0,0,0,107932,81021,75796,59898,61016,62666,4620,4620,2541,2310,2541,2310,0
A180,100000,1,0,1,0,2,0,0,0,0,2,17450,19143,22130,21407,23322,21749,3465,4620,1617,3465,0,2310,1
A183,400000,0,1,0,2,-2,-2,-2,-2,-2,-2,25565,28568,24387,23040,26581,4449,28656,24387,23040,26581,4449,12733,0
A184,200000,1,1,0,2,0,-1,-1,-1,0,0,5826,2710,-203,6727,901,901,2710,0,6930,0,0,1802,0
A185,1000000,1,1,0,2,0,0,0,0,-1,0,463654,470665,474774,-392700,396618,402289,20356,21155,0,1148070,23100,16170,0
A186,200000,0,2,1,0,-2,-1,0,0,0,0,1931,23594,23232,21301,20346,8919,23594,4620,0,977,8919,8466,0
A187,100000,1,0,1,0,-1,2,2,0,0,0,2749,4867,2536,2536,2883,2268,2536,0,0,2268,347,0,1
A188,200000,1,2,1,0,2,2,2,2,0,0,107644,105285,112047,109556,111913,104285,0,9240,0,4620,3927,6930,0
A189,1000000,1,0,0,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
A190,1000000,0,0,1,1,-2,-1,-1,-1,-1,-1,1555,10508,17477,2280,11250,2252,10571,17653,2287,11294,2266,732,0
A192,400000,0,2,1,0,0,0,2,0,0,0,52398,56246,4920,4920,74,-1802,5126,0,0,0,0,0,0
A193,200000,0,2,1,0,1,2,0,0,2,2,40335,39021,41610,44618,45874,44791,0,3234,3696,2310,0,2310,1
A194,400000,0,0,1,0,0,0,0,0,0,0,98029,81039,45133,30670,7392,0,5232,5863,640,462,0,0,0
A195,300000,1,1,0,1,0,0,0,0,0,0,32534,25708,21520,17743,20552,27094,5775,5775,2310,3465,6930,1155,0
A196,100000,0,0,1,1,-1,0,0,3,2,2,8147,10524,13553,12693,11841,13627,2867,3927,0,0,2310,0,1
A197,100000,1,1,1,1,0,0,0,0,2,2,18073,20790,22793,27556,27930,28286,3019,2712,5165,1155,1155,0,0
A198,200000,1,0,1,1,-2,-2,-2,-2,-2,-2,26516,27725,8103,783,3823,1568,27725,8103,783,3823,1568,3696,0
A199,100000,1,0,1,1,0,0,0,0,0,0,19443,14509,19790,23206,23246,23405,3927,10857,5780,3465,6930,0,0
A200,100000,1,2,1,0,0,0,2,0,0,0,36274,45680,44112,45304,46579,45671,10772,0,2310,2310,11550,0,0
A201,500000,1,2,1,1,1,-2,-2,-2,-2,-2,344587,232076,227438,206477,204008,194779,10626,9718,8085,9240,11550,1391,1
A204,200000,0,0,1,0,0,0,0,0,0,0,164255,156974,159335,113525,114779,110372,7605,7600,3941,4063,3994,3966,0
A205,200000,0,2,0,1,0,0,0,0,0,-1,111802,111437,83534,84454,94375,2044,4075,3234,11550,11550,2044,3976,0
A206,500000,1,0,1,0,-2,-2,-2,-2,-2,-2,7692,6156,266396,49774,9369,7346,6205,267766,50178,9416,7383,40795,0
A207,500000,1,0,1,1,1,-2,-1,0,0,-2,-3996,-3996,2566,2566,-67,-8753,0,6930,0,0,0,0,1
A208,1000000,0,0,0,1,-1,-1,0,-1,-1,-1,7263,13139,5306,7196,7327,3671,13246,4662,7249,7362,3689,5530,0
A209,1000000,1,0,1,1,-1,-1,-1,-1,-1,-1,30044,1206,4135,18381,7032,63763,1210,4135,18381,7032,63763,25916,0
A210,200000,0,2,0,0,0,0,0,0,0,0,167161,148083,105953,68637,69924,64477,6366,3155,2310,2363,2525,1617,0
A212,1000000,1,1,1,1,1,2,2,3,2,2,494095,505811,549953,538715,540154,440351,23192,65468,0,15033,432,11550,0
A213,100000,0,1,0,2,1,-2,-2,-2,-2,-1,0,0,0,0,0,347,0,0,0,0,347,367,0
A214,500000,0,2,0,0,0,0,0,0,0,-1,76974,68145,65646,37154,32825,1642,4389,4306,1386,1386,1642,5951,0
A215,1000000,1,2,1,0,0,0,0,0,0,0,52834,53844,56854,58674,60829,64419,3927,4620,3465,3465,4620,3620,0
A216,100000,1,2,0,2,0,0,-1,-1,-1,-1,6805,0,3403,554,901,3049,0,3403,554,1247,3049,0,0
A217,1000000,0,2,0,1,-1,0,0,0,0,0,77706,86332,94687,97979,88628,87641,11550,11550,6930,4620,4620,6930,0
A218,100000,0,0,1,0,2,2,2,2,2,2,21522,42911,42086,39489,45618,43248,23100,1848,0,8085,0,2310,1
A219,1000000,1,1,1,2,0,0,0,0,0,0,73592,77528,81125,85207,89526,93654,11550,11550,11550,11550,11550,11550,0
A220,1000000,1,0,0,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
A221,300000,0,0,1,0,0,0,0,0,0,0,76992,83811,89335,99362,111573,132818,8085,6930,11550,13860,23100,0,0
A223,400000,0,2,1,0,0,0,0,0,0,0,82712,85061,83818,84738,85817,95195,6930,3650,2989,3130,11550,11550,0
A224,500000,1,2,1,1,1,2,2,2,0,0,228667,223067,237974,232072,237570,243717,0,20790,0,9240,10395,9240,0
A228,300000,0,2,0,2,0,0,0,0,0,0,269108,252361,226632,171834,173797,182414,11550,11566,11550,11550,11550,11550,0
A229,500000,0,0,1,1,-2,-2,-2,-2,-2,-2,18503,2130,7392,34673,10568,16814,2130,7410,34673,10568,16814,0,0
A230,200000,0,2,0,0,0,0,0,0,0,0,100996,97159,97787,87484,82578,77688,5147,5775,3835,3366,3003,3095,0
A231,400000,0,2,1,0,0,0,0,0,0,0,248554,253874,260187,264430,271554,268168,9309,10626,9702,11550,11550,50663,0
A232,1000000,0,2,0,2,0,0,0,0,0,0,64985,70136,72504,75211,80894,86445,6237,3544,3927,6930,6930,6930,1
A233,500000,0,2,0,0,0,0,0,0,0,0,162675,157059,131460,131303,118376,97639,8085,5710,3888,4054,3830,8267,0
A235,100000,0,2,0,0,2,2,2,2,2,2,71504,70848,68967,70649,64410,67762,4791,0,5322,0,5544,0,0
A237,1000000,0,1,0,2,2,-1,-1,-1,-1,-2,12758,18556,0,1271,0,0,18565,0,1271,0,0,0,1
A238,300000,0,0,0,1,0,0,0,0,0,0,274537,261469,263601,257780,259951,257962,11550,13860,11550,11550,11550,11550,0
A239,200000,0,2,0,1,0,0,0,0,0,0,106195,115209,109330,82206,83606,69249,11550,11550,11550,11550,11550,34650,0
A240,400000,0,0,1,0,-1,-1,0,0,0,-1,7316,31601,29679,19508,15865,3026,32060,9240,0,0,3026,0,0
A241,1000000,0,2,0,1,-2,-1,-1,2,2,3,39097,3259,3918,3319,6269,5087,3259,2772,0,3416,0,0,0
A242,400000,1,2,1,0,-1,-1,-2,-2,-2,-2,8302,0,0,0,0,0,0,0,0,0,0,0,0
A243,500000,1,1,0,1,2,0,0,2,2,2,211060,214805,230316,233700,238856,253710,9240,19173,9240,9240,19173,0,1
A245,100000,0,0,1,0,-1,-1,2,0,0,0,34384,38297,40420,57824,59196,62811,4479,3465,18972,2310,4620,7392,1
A247,100000,1,2,1,0,2,0,0,0,2,2,31555,33975,40945,46939,44999,44403,2931,7591,6655,2,1460,2,0
A249,300000,0,2,1,0,2,2,2,2,0,0,258350,263922,266357,259653,263961,268727,12243,8316,0,7854,8085,10381,1
A250,1000000,0,2,0,1,0,0,0,0,0,0,37413,39778,42114,42950,43858,46124,2985,3010,1536,1599,3003,1469,0
A251,200000,1,2,1,2,0,0,0,0,0,0,106054,109774,112264,17270,18000,9522,5429,5593,688,1081,3809,3465,0
A252,400000,0,0,1,0,0,0,0,0,0,0,200700,229882,178304,180882,184664,188607,92400,7854,6930,7050,7369,7623,0
A254,500000,0,2,0,1,-1,-1,-1,-2,-1,-1,226,2518,0,0,1340,1155,2587,0,0,1340,1155,0,0
A255,200000,1,1,0,2,1,3,2,0,0,-1,10993,10487,9896,6805,3403,3403,0,0,0,0,3403,3403,1
A257,100000,1,1,1,0,0,0,0,0,0,0,13299,15491,17822,18187,20194,22063,2772,2606,661,2310,2206,0,0
A258,200000,0,2,1,0,2,2,3,2,3,2,174276,184858,180478,190762,187232,182797,14784,0,14553,0,0,11550,1
A259,1000000,1,2,0,3,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
A260,1500000,1,0,1,1,-2,-2,-1,0,0,0,28762,55659,36239,56620,28053,80765,55717,36477,29586,18688,78794,208434,0
A264,500000,1,1,0,1,-1,-1,-1,0,-1,-1,2289,2289,3040,751,3828,751,2289,3040,0,3828,751,751,0
A265,1500000,0,0,0,1,-1,-1,-1,-1,-1,-1,12248,30799,1585,-956,6320,29074,30799,3195,0,7277,30030,12705,0
