Client_ID,Balance_Limit_V1,Gender,EDUCATION_STATUS,MARITAL_STATUS,AGE,PAY_JULY,PAY_AUG,PAY_SEP,PAY_OCT,PAY_NOV,PAY_DEC,DUE_AMT_AUG,PAID_AMT_JULY,PAID_AMT_AUG,PAID_AMT_SEP,PAID_AMT_OCT,PAID_AMT_NOV,PAID_AMT_DEC,Ability_to_pay_AUG,Ability_to_pay_SEP,Ability_to_pay_OCT,Ability_to_pay_NOV,Ability_to_pay_DEC,AVG_PAID_AMT,NEXT_MONTH_DEFAULT
A49,1000000,0,0,1,0,-1,-1,-2,-2,-1,-1,0,0,0,0,5881,0,0,0,0,11762,-5881,0,980.1666666666666,0
A52,400000,1,2,1,0,0,0,0,0,-1,0,56147,18540,18027,17856,155454,3095,2957,-56147,-40820,-51100,-91234,-86558,35988.166666666664,0
A53,1000000,1,2,1,0,1,2,0,0,0,0,918142,0,33296,33289,175560,34650,30030,-984734,-913219,-848694,-704527,-702940,51137.5,0
A54,1000000,1,0,0,1,1,-2,-2,-2,-2,-1,-1146,832,832,832,732,14442,18,2810,3641,4273,32525,-9836,2948.0,0
A55,200000,1,2,0,1,-2,-2,-2,-2,-2,-2,901,901,0,1802,0,0,0,-901,3604,-1802,0,0,450.5,0
A56,1000000,1,0,0,2,1,-1,-1,-1,-2,-1,2657,2657,10571,0,0,2786,0,7914,-10571,0,5572,-2786,2669.0,1
A57,1000000,0,0,1,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
A58,500000,1,1,1,1,-2,-2,-2,-2,-2,-2,190852,206022,32751,95539,21113,0,0,-125350,158440,-53313,-21113,0,59237.5,0
A59,100000,1,2,1,2,0,0,0,0,0,0,68434,3696,3465,3465,3465,4620,5315,-68434,-68198,-68131,-68062,-69048,4004.3333333333335,0
A60,200000,1,2,0,1,-1,-1,-1,-1,-1,-1,51857,52044,15338,12497,22107,3465,0,-36519,-2841,9610,-18642,-3465,17575.166666666668,0
A61,500000,1,0,1,0,0,0,0,-1,-1,-1,58517,3634,6946,10150,462,462,462,-58517,-27699,-9688,0,0,3686.0,0
A62,400000,0,1,0,2,0,0,0,0,0,0,334008,12606,13077,10709,11088,11204,11550,-334008,-341037,-299161,-305426,-311547,11705.666666666666,1
A64,400000,1,2,1,0,0,0,0,0,0,0,22747,2675,2728,3465,1931,2772,4620,-22747,-25110,-28157,-29651,-31943,3031.8333333333335,0
A65,200000,1,1,1,0,1,2,2,0,0,2,103243,4620,0,4620,13860,693,6930,-103243,-110125,-103162,-114373,-125789,5120.5,0
A66,1000000,0,2,0,1,0,0,0,0,0,0,208020,7491,7392,7357,8085,8085,7900,-208020,-209295,-210672,-212830,-214447,7718.333333333333,0
A67,200000,1,0,1,0,-1,2,2,2,2,0,10462,2541,0,1441,0,1155,2310,-10462,-12833,-11224,-13024,-11344,1241.1666666666667,1
A69,1000000,0,0,0,1,-2,-2,-2,-2,-2,-2,2065,2065,0,0,0,0,0,-2065,0,0,0,0,344.1666666666667,1
A70,400000,0,2,0,0,0,0,0,0,0,0,161400,23118,46232,4375,14842,5091,144442,-161400,-159353,-128341,-103269,-65195,39683.333333333336,0
A71,100000,1,1,1,1,1,2,0,0,0,0,69242,0,4620,2310,3465,2430,1365,-78482,-63620,-64183,-66618,-67942,2365.0,0
A73,500000,0,0,1,0,0,0,0,2,0,0,241171,15477,24498,0,10975,4052,0,-241171,-254945,-256531,-227801,-114876,9167.0,1
A75,1000000,1,0,1,1,-1,-1,-1,-1,-1,-1,721,723,723,723,582,2,221693,2,2,-139,-578,221834,37407.666666666664,1
A76,500000,1,1,1,1,2,2,0,0,0,0,82206,0,4158,2841,2772,3119,5336,-90522,-83135,-83190,-83539,-73081,3037.6666666666665,0
A77,500000,0,0,1,0,1,2,0,0,2,2,33079,0,11550,2310,0,4620,0,-56179,-35664,-34089,-42215,-31601,3080.0,0
A78,200000,1,1,1,0,0,0,-1,0,0,0,102680,4967,2208,46,2310,2310,2310,-102680,-2162,-2255,-4565,-6789,2358.5,1
A80,500000,0,0,1,0,0,0,0,0,0,0,52541,4031,2772,3537,8085,0,0,-52541,-28182,-22017,-23403,0,3070.8333333333335,0
A81,200000,0,1,0,1,-1,-1,0,-1,-1,-2,247,247,2310,3091,0,0,2495,2063,-2557,-3091,0,4990,1357.1666666666667,0
A82,200000,0,1,0,1,0,0,0,0,0,0,103359,6930,9240,2310,2310,4620,2310,-103359,-109815,-40102,-41414,-45320,4620.0,0
A84,200000,0,0,1,0,0,0,0,0,0,0,96662,6930,6930,16170,23100,34650,2310,-96662,-93500,-100917,-101312,-111173,15015.0,0
A85,1000000,1,0,1,1,-1,-1,-1,-1,-1,-2,25761,25916,0,871,0,0,4063,-25761,873,-869,0,8126,5141.666666666667,0
A86,500000,0,1,0,2,-1,-1,-1,-1,-1,-1,993,993,993,993,993,993,24943,0,0,0,0,23950,4984.666666666667,0
A87,200000,1,1,1,1,0,0,0,0,0,0,130741,4777,4807,4881,11550,5230,5410,-130741,-133342,-136041,-143199,-146047,6109.166666666667,0
A88,100000,0,2,1,0,2,2,7,7,7,7,693,0,0,0,0,0,0,-693,-693,-693,-693,-693,0.0,0
A89,1000000,1,2,1,0,2,2,2,-1,2,-1,924,0,0,46972,0,49834,0,-924,-94868,-46972,-143674,-49834,16134.333333333334,0
A91,500000,1,2,1,0,-1,0,0,0,-1,-1,71361,46302,23557,34842,35690,26780,43391,-71361,-58570,-50048,-8803,16690,35093.666666666664,0
A92,200000,1,2,0,1,0,0,0,0,0,0,105380,4211,3465,2310,2310,2310,2310,-105380,-77639,-44401,-43717,-45294,2819.3333333333335,0
A94,200000,1,2,1,0,0,0,0,2,2,0,60157,7623,9009,3465,0,2481,2772,-60157,-67410,-69083,-72627,-68674,4225.0,0
A95,1000000,0,0,1,1,2,2,2,2,2,2,511478,23100,19635,19635,19635,73920,462,-550748,-558449,-566001,-685432,-602614,26064.5,0
A97,1000000,0,0,0,1,-1,-1,-1,-1,-1,-1,1970,1970,381,693,0,4135,0,-1589,312,-693,4135,-4135,1196.5,0
A98,200000,1,0,1,1,0,0,0,0,0,0,64722,23100,23100,3465,6930,6475,11550,-64722,-52539,-42698,-37833,-30843,12436.666666666666,0
A100,200000,0,1,0,2,0,0,0,0,0,0,90589,4026,2359,462,462,231,0,-90589,-35930,-20106,-20568,-10827,1256.6666666666667,0
A101,1500000,1,0,0,1,0,0,0,0,0,0,53093,30012,4641,11550,11550,4620,16170,-53093,-47817,-45750,-54983,-53326,13090.5,0
A102,1000000,0,1,0,1,0,0,0,0,0,0,28565,6052,2310,0,32213,16438,2957,-28565,-30053,-29152,-41453,-46269,9995.0,1
A103,1000000,1,2,1,0,-2,-2,-2,-2,-2,-2,4084,4116,4290,0,3717,7,2488,4496,-4269,7452,-3684,4983,2436.3333333333335,0
A104,1000000,0,2,1,1,0,0,0,0,0,0,470607,115500,231000,0,0,0,0,-470607,-678389,-453857,-5717,0,57750.0,0
A106,1000000,1,0,0,1,0,0,0,0,0,0,264012,23100,12587,11550,4620,4620,11550,-264012,-261714,-80961,-84294,-86052,11337.833333333334,0
A107,1000000,0,2,0,1,-2,-2,-1,0,0,0,333938,351120,13860,11550,9240,9279,11550,-306218,-329029,-311949,-318734,-320877,67766.5,0
A108,1500000,0,2,0,1,-1,-1,-1,-1,-1,-1,43317,43416,51739,90185,9778,917,65458,8422,38496,-80354,-8861,64541,43582.166666666664,0
A109,1500000,0,0,0,1,0,0,0,0,0,0,308015,23100,11550,11550,16461,23100,23100,-308015,-307403,-253419,-256877,-268350,18143.5,0
A110,1000000,1,2,1,0,0,0,0,0,0,0,548618,24255,21137,17325,18480,17325,16401,-548618,-497442,-474881,-479759,-459586,19153.833333333332,0
A111,1500000,1,1,0,2,0,0,0,0,2,-1,60132,2754,74802,4645,0,166777,23100,-60132,-74819,-75837,-373265,-143677,45346.333333333336,0
A113,200000,1,1,0,2,0,0,0,0,0,0,144442,6306,5752,2310,13273,4620,330,-144442,-136345,-60078,-65165,-42264,5431.833333333333,0
A114,1500000,1,0,1,1,0,0,0,0,0,0,117840,5544,6930,4620,11550,9240,9240,-117840,-111658,-114419,-124079,-131250,7854.0,0
A115,1000000,0,0,0,1,-1,0,0,0,0,0,491198,17581,17288,16422,16098,15387,14844,-491198,-499103,-483455,-467955,-451760,16270.0,0
A116,400000,0,0,0,1,-1,-1,-1,-1,-1,-1,7399,7503,7903,6353,6353,12067,5343,504,-1550,0,5714,-6724,7587.0,0
A117,500000,1,2,0,2,-1,2,-1,-1,2,-1,13814,0,10363,23100,0,10848,10848,-34540,12737,-22615,-33117,0,9193.166666666666,0
A119,300000,0,0,1,0,0,0,0,0,0,0,258780,9820,9744,9626,9790,9658,9808,-258780,-258240,-258572,-258789,-258662,9741.0,0
A120,200000,0,2,0,1,0,0,0,0,0,0,136276,6653,5713,3054,3155,3590,3162,-136276,-137981,-85271,-87050,-89196,4221.166666666667,0
A121,1000000,1,0,1,0,-1,-1,-1,-1,-1,-1,26600,26600,30998,51303,126604,144454,87630,4398,20367,75301,17850,-56824,77931.5,0
A122,300000,1,2,0,1,0,0,0,0,0,0,236787,9101,7521,6228,6422,6699,6930,-236787,-239857,-176694,-178436,-180293,7150.166666666667,0
A124,1000000,0,0,1,1,0,0,0,0,0,0,358886,14784,14091,12936,13410,16186,12474,-358886,-361254,-368639,-376551,-373686,13980.166666666666,0
A125,500000,1,0,1,1,-1,-1,-1,0,-1,-1,1298,2384,5161,0,2153,2342,2310,3863,-4306,-2153,189,-32,2391.6666666666665,0
A126,200000,0,2,0,1,0,-1,0,0,0,0,76496,76496,3622,2878,2982,3058,1682,-72874,-78843,-80409,-82095,-83786,15119.666666666666,0
A127,500000,0,0,1,1,0,0,0,0,0,0,133031,4736,34650,13867,1952,670,29372,-133031,-126382,-102555,-59940,-33507,14207.833333333334,0
A129,500000,1,2,0,1,-1,-1,-1,-1,-1,-1,22024,22037,22767,22881,19727,20293,7115,743,127,-3154,566,-13178,19136.666666666668,0
A130,400000,0,2,1,1,1,2,0,0,0,0,327805,0,16170,9062,9240,9471,11060,-360145,-327881,-261095,-260261,-259455,9167.166666666666,0
A132,1000000,0,2,1,1,0,0,0,0,0,0,264282,23252,16759,7011,6999,6972,4648,-264282,-224982,-192455,-169305,-136914,10940.166666666666,0
A133,400000,0,0,1,0,-1,-1,-1,0,0,-1,3994,4003,113652,2310,0,115500,0,109658,-111342,-115500,0,-115500,39244.166666666664,0
A134,200000,1,2,0,2,0,0,0,0,0,-1,251102,11619,6232,5017,869,93830,58468,-251102,-250603,-217415,-43449,-35362,29339.166666666668,1
A135,500000,0,2,0,1,0,0,-2,-2,-2,-2,75105,75105,21,18,19506,7203,0,-75105,-14268,32348,-5042,-6491,16975.5,1
A136,500000,0,0,1,0,0,0,0,0,0,-1,43206,16170,16170,16170,11550,753,16808,-43206,-56387,-67415,-16921,16055,12936.833333333334,0
A138,100000,1,0,1,0,0,0,0,0,0,0,38873,6237,9587,3465,1333,18480,693,-38873,-40940,-43273,-28295,-45992,6632.5,0
A139,400000,1,2,1,1,0,0,0,0,0,0,275084,11550,5082,5313,5313,4851,4620,-275084,-145350,-139053,-136140,-135491,6121.5,0
A140,500000,1,1,1,1,-2,-2,-2,-2,-2,-2,4156,4156,901,901,966,3705,0,-2354,901,1031,6444,-3705,1771.5,0
A142,100000,0,2,1,2,1,2,2,2,0,0,41885,0,6930,0,2310,6930,4620,-55745,-45114,-48395,-38138,-44782,3465.0,1
A143,200000,0,2,1,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,924,0,0,0,0,1848,154.0,0
A144,400000,0,0,0,1,0,0,0,0,0,0,319951,184800,10954,4671,4796,4103,24100,-319951,-314567,-140910,-137392,-102144,38904.0,0
A145,200000,0,2,0,1,2,2,2,2,2,2,118145,4620,0,9702,5082,5082,5082,-118145,-134955,-133495,-136241,-138882,4928.0,1
A146,300000,0,1,0,1,-1,-1,-1,-1,-1,-1,16907,17059,17574,3973,103950,34650,3564,667,-13601,99977,-69300,3564,30128.333333333332,0
A147,100000,1,2,1,1,0,0,0,0,0,0,53703,3213,3241,2047,2118,2130,2206,-53703,-56041,-57156,-58353,-59513,2492.5,0
A148,200000,1,0,1,0,-1,-1,-1,-1,-1,-2,33114,33354,1307,12111,0,0,3188,-31807,10804,-12111,0,6376,8326.666666666666,0
A149,200000,0,2,1,0,-1,-1,-1,-1,-1,-1,3463,3463,1802,1841,2693,0,0,-1661,39,852,-2693,0,1633.1666666666667,1
A150,1000000,0,0,1,1,0,0,0,0,0,0,480755,23100,23100,18480,23100,23100,46200,-480755,-492536,-466865,-482536,-497701,26180.0,0
A151,1000000,0,0,0,1,-1,-1,-1,-1,-1,-1,40672,40672,95368,20517,40074,67489,9339,54696,-74798,19557,27415,-58150,45576.5,0
A152,1500000,0,1,1,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
A153,400000,1,1,0,2,2,2,0,0,0,0,370573,0,14604,5255,5412,7089,177882,-399781,-364197,-169374,-133599,-96655,35040.333333333336,0
A154,1500000,0,0,1,1,0,0,0,0,0,0,216295,13860,46200,207900,20790,23100,23100,-216295,-258487,-461265,-409039,-406511,55825.0,0
A155,100000,0,2,1,0,2,0,0,0,0,0,44576,4158,3465,1155,1155,0,0,-44576,-46253,-45334,-35084,0,1655.5,1
A156,1000000,1,2,1,0,1,-1,2,0,-1,-1,3805,3805,12,5,3939,1830,0,-3793,-3447,-1132,-2090,-1823,1598.5,0
A157,1000000,0,0,0,1,-1,-1,-1,-2,-2,-2,527,527,0,0,2051,0,0,-527,0,4102,0,0,429.6666666666667,0
A159,200000,0,0,1,0,0,0,0,0,0,0,102474,69392,4705,1368,11557,11578,4673,-102474,-74123,-46431,-34920,-42737,17212.166666666668,0
A160,400000,0,1,0,2,0,0,0,0,0,0,271014,11552,9240,13874,11550,11568,0,-271014,-277050,-288549,-295929,-303492,9630.666666666666,0
A161,1000000,1,2,0,1,-1,-1,-1,-1,-1,-1,4003,4003,5757,6091,2292,10781,640,1754,381,-3774,8496,-10095,4927.333333333333,0
A162,1000000,1,0,1,1,0,0,0,0,0,0,566659,21603,18658,16565,18512,14403,10268,-566659,-503679,-452797,-451159,-390265,16668.166666666668,0
A163,200000,0,1,0,0,0,0,-1,-1,-1,-1,9831,2310,9718,1603,550,0,0,-9831,-8115,-1053,-550,0,2363.5,0
A164,1000000,0,0,1,1,1,-2,-1,-1,-1,-1,0,0,9004,3373,43661,0,0,18008,-5631,40288,-43661,0,9339.666666666666,1
A165,200000,0,2,0,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
A166,200000,1,0,1,1,0,0,0,2,0,0,11712,2899,4620,0,4620,2310,1155,-11712,-15743,-23257,-18013,-19660,2600.6666666666665,0
A167,400000,0,0,1,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
A168,300000,0,0,1,1,1,-1,-1,0,-1,-1,3996,3996,5680,0,6133,0,0,1684,-5676,-5064,-6133,0,2634.8333333333335,1
A169,1000000,0,2,1,1,0,0,0,-1,-1,-1,20499,2430,2315,758,0,1779,26124,-20499,-8087,-758,1779,24345,5567.666666666667,0
A170,100000,1,2,1,1,-1,0,0,0,0,0,3703,2938,44555,1573,2118,2310,2054,-3703,-46154,-46161,-46352,-45865,9258.0,0
A171,200000,0,1,0,2,0,0,0,0,-2,-2,113456,4620,2352,0,0,0,0,-113456,-110859,0,0,0,1162.0,0
A172,100000,0,0,1,0,1,2,2,2,0,0,23322,0,4620,0,3465,3003,0,-32562,-27549,-33356,-29097,-31261,1848.0,1
A173,300000,1,2,0,1,0,0,0,0,0,0,205207,9240,11550,7161,3927,3283,737,-205207,-207417,-122652,-120905,-63895,5983.0,1
A175,100000,1,2,1,0,-1,2,0,0,0,2,40224,0,3470,1899,4620,0,508,-47164,-42984,-44209,-47794,-47618,1749.5,0
A176,300000,0,2,1,0,-2,-2,-2,-2,-2,-2,21222,21222,12492,29845,22305,10942,10425,3762,47198,14765,-421,9908,17871.833333333332,0
A178,400000,1,2,1,0,-1,-1,-1,-1,-1,-1,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,1271.0,0
A179,200000,0,2,1,0,0,0,0,0,0,0,81021,4620,4620,2541,2310,2541,2310,-81021,-75796,-59898,-61016,-62666,3157.0,0
A180,100000,1,0,1,0,2,0,0,0,0,2,19143,3465,4620,1617,3465,0,2310,-19143,-22130,-21407,-23322,-26369,2579.5,1
A183,400000,0,1,0,2,-2,-2,-2,-2,-2,-2,28568,28656,24387,23040,26581,4449,12733,20206,21693,30122,-17683,21017,19974.333333333332,0
A184,200000,1,1,0,2,0,-1,-1,-1,0,0,2710,2710,0,6930,0,0,1802,-2710,7133,-6727,-901,-901,1907.0,0
A185,1000000,1,1,0,2,0,0,0,0,-1,0,470665,20356,21155,0,1148070,23100,16170,-470665,-474774,392700,-373518,-402289,204808.5,0
A186,200000,0,2,1,0,-2,-1,0,0,0,0,23594,23594,4620,0,977,8919,8466,-18974,-23232,-21301,-20346,-8919,7762.666666666667,0
A187,100000,1,0,1,0,-1,2,2,0,0,0,4867,2536,0,0,2268,347,0,-4867,-2536,-2536,-2883,-2268,858.5,1
A188,200000,1,2,1,0,2,2,2,2,0,0,105285,0,9240,0,4620,3927,6930,-123765,-112047,-118796,-111913,-104285,4119.5,0
A189,1000000,1,0,0,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
A190,1000000,0,0,1,1,-2,-1,-1,-1,-1,-1,10508,10571,17653,2287,11294,2266,732,7145,-15190,9014,-8984,-1520,7467.166666666667,0
A192,400000,0,2,1,0,0,0,2,0,0,0,56246,5126,0,0,0,0,0,-56246,-4920,-4920,-74,1802,854.3333333333334,0
A193,200000,0,2,1,0,1,2,0,0,2,2,39021,0,3234,3696,2310,0,2310,-45489,-41610,-44618,-45874,-49411,1925.0,1
A194,400000,0,0,1,0,0,0,0,0,0,0,81039,5232,5863,640,462,0,0,-81039,-45133,-30670,-7392,0,2032.8333333333333,0
A195,300000,1,1,0,1,0,0,0,0,0,0,25708,5775,5775,2310,3465,6930,1155,-25708,-21520,-17743,-20552,-27094,4235.0,0
A196,100000,0,0,1,1,-1,0,0,3,2,2,10524,2867,3927,0,0,2310,0,-10524,-13553,-12693,-16461,-13627,1517.3333333333333,1
A197,100000,1,1,1,1,0,0,0,0,2,2,20790,3019,2712,5165,1155,1155,0,-20790,-22793,-27556,-30240,-28286,2201.0,0
A198,200000,1,0,1,1,-2,-2,-2,-2,-2,-2,27725,27725,8103,783,3823,1568,3696,-11519,-6537,6863,-687,5824,7616.333333333333,0
A199,100000,1,0,1,1,0,0,0,0,0,0,14509,3927,10857,5780,3465,6930,0,-14509,-19790,-23206,-23246,-23405,5159.833333333333,0
A200,100000,1,2,1,0,0,0,2,0,0,0,45680,10772,0,2310,2310,11550,0,-45680,-48732,-45304,-46579,-45671,4490.333333333333,0
A201,500000,1,2,1,1,1,-2,-2,-2,-2,-2,232076,10626,9718,8085,9240,11550,1391,-212640,-211268,-187997,-180908,-191997,8435.0,1
A204,200000,0,0,1,0,0,0,0,0,0,0,156974,7605,7600,3941,4063,3994,3966,-156974,-159335,-113525,-114779,-110372,5194.833333333333,0
A205,200000,0,2,0,1,0,0,0,0,0,-1,111437,4075,3234,11550,11550,2044,3976,-111437,-83534,-84454,-94375,1932,6071.5,0
A206,500000,1,0,1,0,-2,-2,-2,-2,-2,-2,6156,6205,267766,50178,9416,7383,40795,529376,-166040,-30942,5397,74244,63623.833333333336,0
A207,500000,1,0,1,1,1,-2,-1,0,0,-2,-3996,0,6930,0,0,0,0,17856,-2566,-2566,67,8753,1155.0,1
A208,1000000,0,0,0,1,-1,-1,0,-1,-1,-1,13139,13246,4662,7249,7362,3689,5530,-8477,-5306,166,-3638,1859,6956.333333333333,0
A209,1000000,1,0,1,1,-1,-1,-1,-1,-1,-1,1206,1210,4135,18381,7032,63763,25916,2929,14246,-11349,56731,-37847,20072.833333333332,0
A210,200000,0,2,0,0,0,0,0,0,0,0,148083,6366,3155,2310,2363,2525,1617,-148083,-105953,-68637,-69924,-64477,3056.0,0
A212,1000000,1,1,1,1,1,2,2,3,2,2,505811,23192,65468,0,15033,432,11550,-636747,-549953,-583814,-541018,-463451,19279.166666666668,0
A213,100000,0,1,0,2,1,-2,-2,-2,-2,-1,0,0,0,0,0,347,367,0,0,0,694,20,119.0,0
A214,500000,0,2,0,0,0,0,0,0,0,-1,68145,4389,4306,1386,1386,1642,5951,-68145,-65646,-37154,-32825,4309,3176.6666666666665,0
A215,1000000,1,2,1,0,0,0,0,0,0,0,53844,3927,4620,3465,3465,4620,3620,-53844,-56854,-58674,-60829,-64419,3952.8333333333335,0
A216,100000,1,2,0,2,0,0,-1,-1,-1,-1,0,0,3403,554,1247,3049,0,0,-2849,693,2148,-3049,1375.5,0
A217,1000000,0,2,0,1,-1,0,0,0,0,0,86332,11550,11550,6930,4620,4620,6930,-86332,-94687,-97979,-88628,-87641,7700.0,0
A218,100000,0,0,1,0,2,2,2,2,2,2,42911,23100,1848,0,8085,0,2310,-46607,-42086,-55659,-45618,-47868,5890.5,1
A219,1000000,1,1,1,2,0,0,0,0,0,0,77528,11550,11550,11550,11550,11550,11550,-77528,-81125,-85207,-89526,-93654,11550.0,0
A220,1000000,1,0,0,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
A221,300000,0,0,1,0,0,0,0,0,0,0,83811,8085,6930,11550,13860,23100,0,-83811,-89335,-99362,-111573,-132818,10587.5,0
